video_second,time_mmss,mile,landmark_or_note
1,0:01,0.0,Start
10,0:10,1.0,Mile 1
21,0:21,2.0,Mile 2
30,0:30,3.0,Mile 3
42,0:42,4.0,Mile 4
51,0:51,5.0,Mile 5
62,1:02,6.0,Mile 6
73,1:13,7.0,Mile 7
85,1:25,8.0,Mile 8
98,1:38,9.0,Mile 9
105,1:45,10.0,Mile 10
118,1:58,11.0,Mile 11
129,2:09,12.0,Mile 12
141,2:21,13.0,Mile 13
153,2:33,14.0,Mile 14
164,2:44,15.0,Mile 15
175,2:55,16.0,Mile 16
186,3:06,17.0,Mile 17
200,3:20,18.0,Mile 18
213,3:33,19.0,Mile 19
237,3:57,20.0,Mile 20
263,4:23,21.0,Mile 21
283,4:43,22.0,Mile 22
308,5:08,23.0,Mile 23
329,5:29,24.0,Mile 24
346,5:46,25.0,Mile 25
366,6:06,26.0,Mile 26
369,6:09,26.2,Finish
